19739	2.816760	1.686209	1
36788	12.458258	0.649617	2
5741	0.000000	1.656418	1
28567	9.968648	0.731232	2
6808	1.364838	0.640103	1
41611	0.230453	1.151996	0
36661	11.865402	0.882810	2
43605	0.120460	1.352013	0
15360	8.545204	1.340429	2
63796	5.856649	0.160006	0
10743	9.665618	0.778626	1
70808	9.778763	1.084103	0
72011	4.932976	0.632026	0
5914	2.216246	0.587095	1
14851	14.305636	0.632317	2
33553	12.591889	0.686581	2
44952	3.424649	1.004504	0
17934	0.000000	0.147573	1
27738	8.533823	0.205324	2
29290	9.829528	0.238620	2
42330	11.492186	0.263499	2
36429	3.570968	0.832254	0
39623	1.771228	0.207612	0
32404	3.513921	0.991854	0
27268	4.398172	0.975024	0
5477	4.276823	1.174874	1
14254	5.946014	1.614244	1
68613	13.798970	0.724375	0
41539	10.393591	1.663724	2
7917	3.007577	0.297302	1
21331	1.031938	0.486174	1
8338	4.751212	0.064693	1
5176	3.692269	1.655113	1
18983	10.448091	0.267652	2
68837	10.585786	0.329557	0
13438	1.604501	0.069064	1
48849	3.679497	0.961466	0
1823	7.712960	1.054927	1
9744	11.470364	0.760461	2
16857	2.886529	0.934416	1
